frac_imb1_train,frac_imb1_test,sd_error,n_resamples,resample_to,n_sims,n_vox,frac_imb2_train,frac_imb2_test,n_trial1_train,n_trial1_test,n_trial2_train,n_trial2_test,mu_intercept,mu_me1,mu_me2,sd_intercept,sd_me1,sd_me2,mu_interaction,sd_interaction,sd_resample,fn
0.3,0.3,100,100,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  42.csv
0.5,0.5,100,100,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  43.csv
0.7,0.7,100,100,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  44.csv
0.9,0.9,100,100,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  45.csv
0.1,0.1,1,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  46.csv
0.3,0.3,1,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  47.csv
0.5,0.5,1,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  48.csv
0.7,0.7,1,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  49.csv
0.9,0.9,1,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  50.csv
0.1,0.1,10,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  51.csv
0.3,0.3,10,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  52.csv
0.5,0.5,10,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  53.csv
0.7,0.7,10,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  54.csv
0.9,0.9,10,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  55.csv
0.1,0.1,100,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  56.csv
0.3,0.3,100,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  57.csv
0.5,0.5,100,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  58.csv
0.7,0.7,100,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  59.csv
0.9,0.9,100,1000,125,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  60.csv
0.1,0.1,1,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  61.csv
0.3,0.3,1,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  62.csv
0.5,0.5,1,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  63.csv
0.7,0.7,1,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  64.csv
0.9,0.9,1,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  65.csv
0.1,0.1,10,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  66.csv
0.3,0.3,10,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  67.csv
0.5,0.5,10,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  68.csv
0.7,0.7,10,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  69.csv
0.9,0.9,10,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  70.csv
0.1,0.1,100,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  71.csv
0.3,0.3,100,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  72.csv
0.5,0.5,100,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  73.csv
0.7,0.7,100,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  74.csv
0.9,0.9,100,100,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  75.csv
0.1,0.1,1,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  76.csv
0.3,0.3,1,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  77.csv
0.5,0.5,1,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  78.csv
0.7,0.7,1,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  79.csv
0.9,0.9,1,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  80.csv
0.1,0.1,10,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  81.csv
0.3,0.3,10,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  82.csv
0.5,0.5,10,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  83.csv
0.7,0.7,10,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  84.csv
0.9,0.9,10,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  85.csv
0.1,0.1,100,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  86.csv
0.3,0.3,100,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  87.csv
0.5,0.5,100,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  88.csv
0.7,0.7,100,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  89.csv
0.9,0.9,100,1000,250,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  90.csv
